email,label
"Urgent: Your account has been compromised, reset your password now.",spam
"The marketing team is hosting a brainstorming session tomorrow at 3 PM.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Remember to submit your feedback on the new project management software.",ham
"Congratulations! You've been selected for a focus group, earn $100.",spam
"The HR team is hosting a workshop on professional development next week.",ham
"You're the winner of our latest contest, claim your prize here.",spam
"Don't forget to sign up for the company's health and wellness program.",ham
"Urgent: Your package has been delayed, click here to track its status.",spam
"The IT department is rolling out a new software update next month.",ham
"Congratulations! You've been pre-approved for a low-interest loan.",spam
"Remember to submit your timesheet for the previous pay period.",ham
"You've been selected for a special opportunity, click here to learn more.",spam
"The annual employee review process is starting next week, prepare accordingly.",ham
"Urgent: Your account has been suspended, click here to reactivate.",spam
"The company is hosting a townhall meeting next Friday, attendance is encouraged.",ham
"Click here to get a free gift card as a special promotion.",spam
"Don't forget to RSVP for the upcoming company holiday party.",ham
"Congratulations! You've won a free vacation to the Bahamas!",spam
"The IT department is hosting a training session on cybersecurity next month.",ham
"You've been selected for a focus group, earn $50 for your participation.",spam
"Remember to submit your travel expense report by the end of the week.",ham
"Urgent: Your account has been compromised, please reset your password immediately.",spam
"The HR team is hosting a workshop on effective communication skills.",ham
"Click here to get a free trial of our premium service for 30 days.",spam
"Don't forget to submit your feedback on the recent company reorganization.",ham
"Congratulations! You've been selected for a special promotion, click here to accept.",spam
"The sales team is hosting a training session on our new product line next week.",ham
"You've won a free vacation, click here to claim your prize!",spam
"Remember to update your contact information in the company directory.",ham
"Urgent: Your account has been suspended, call this number to reactivate.",spam
"The marketing department is hosting a brainstorming session on new campaign ideas.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your annual performance review by the end of the month.",ham
"Congratulations! You've been selected for a job interview at our company.",spam
"The IT team is rolling out a new software update next week, be sure to install it.",ham
"You've been pre-approved for a credit card with a 0% APR, click here to apply.",spam
"Remember to submit your time off request for the upcoming holiday season.",ham
"Urgent: Your package has been delayed, click here to reroute your delivery.",spam
"The HR team is hosting a workshop on stress management next month.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Don't forget to RSVP for the annual company holiday party next weekend.",ham
"Congratulations! You've won a brand new luxury car, click here to claim.",spam
"The sales team is hosting a training session on our new product line tomorrow.",ham
"You've been selected for a special offer, click here to learn more details.",spam
"Remember to submit your feedback on the recent company-wide survey.",ham
"Urgent: Your account has been compromised, call this number immediately.",spam
"The IT department is hosting a training session on data security next week.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your travel expense report by the end of the month.",ham
"Congratulations! You've been selected for a focus group, earn $75.",spam
"The HR team is hosting a workshop on effective time management next month.",ham
"You've been pre-approved for a low-interest personal loan, click here to apply.",spam
"Remember to submit your annual performance review by the end of the week.",ham
"Urgent: Your package has been delayed, click here to reroute your delivery.",spam
"The marketing department is hosting a brainstorming session on new campaign ideas.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Don't forget to RSVP for the upcoming company off-site retreat next month.",ham
"Congratulations! You've won a free vacation to the Caribbean, click here to claim.",spam
"The IT team is rolling out a new software update next week, be sure to install it.",ham
"You've been selected for a special offer, click here to learn more details.",spam
"Remember to submit your timesheet for the previous pay period by Friday.",ham
"Urgent: Your account has been compromised, call this number immediately.",spam
"The HR team is hosting a workshop on effective communication skills next month.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your expense report for the recent business trip.",ham
"Congratulations! You've been selected for a focus group, earn $100.",spam
"The sales team is hosting a training session on our new product line tomorrow.",ham
"You've been pre-approved for a credit card with a 0% APR, click here to apply.",spam
"Remember to submit your time off request for the upcoming holiday season.",ham
"Urgent: Your package has been delayed, click here to reroute your delivery.",spam
"The marketing department is hosting a brainstorming session on new campaign ideas.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Don't forget to RSVP for the annual company holiday party next weekend.",ham
"Congratulations! You've won a brand new luxury car, click here to claim.",spam
"The IT team is rolling out a new software update next week, be sure to install it.",ham
"You've been selected for a special offer, click here to learn more details.",spam
"Remember to submit your feedback on the recent company-wide survey.",ham
"Urgent: Your account has been compromised, call this number immediately.",spam
"The HR team is hosting a workshop on effective time management next month.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your travel expense report by the end of the month.",ham
"Congratulations! You've been selected for a focus group, earn $75.",spam
"The marketing department is hosting a brainstorming session on new campaign ideas.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Don't forget to RSVP for the upcoming company off-site retreat next month.",ham
"Congratulations! You've won a free vacation to the Caribbean, click here to claim.",spam
"The IT team is rolling out a new software update next week, be sure to install it.",ham
"You've been selected for a special offer, click here to learn more details.",spam
"Remember to submit your timesheet for the previous pay period by Friday.",ham
"Urgent: Your account has been compromised, call this number immediately.",spam
"The HR team is hosting a workshop on effective communication skills next month.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your expense report for the recent business trip.",ham
"Congratulations! You've been selected for a focus group, earn $100.",spam
"The sales team is hosting a training session on our new product line tomorrow.",ham
"You've been pre-approved for a credit card with a 0% APR, click here to apply.",spam
"Remember to submit your time off request for the upcoming holiday season.",ham
"Urgent: Your package has been delayed, click here to reroute your delivery.",spam
"The marketing department is hosting a brainstorming session on new campaign ideas.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Don't forget to RSVP for the annual company holiday party next weekend.",ham
"Congratulations! You've won a brand new luxury car, click here to claim.",spam
"The IT team is rolling out a new software update next week, be sure to install it.",ham
"You've been selected for a special offer, click here to learn more details.",spam
"Remember to submit your feedback on the recent company-wide survey.",ham
"Urgent: Your account has been compromised, call this number immediately.",spam
"The HR team is hosting a workshop on effective time management next month.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your travel expense report by the end of the month.",ham
"Congratulations! You've been selected for a focus group, earn $75.",spam
"The marketing department is hosting a brainstorming session on new campaign ideas.",ham
"Click here to get a free trial of our premium subscription service.",spam
"Don't forget to RSVP for the upcoming company off-site retreat next month.",ham
"Congratulations! You've won a free vacation to the Caribbean, click here to claim.",spam
"The IT team is rolling out a new software update next week, be sure to install it.",ham
"You've been selected for a special offer, click here to learn more details.",spam
"Remember to submit your timesheet for the previous pay period by Friday.",ham
"Urgent: Your account has been compromised, call this number immediately.",spam
"The HR team is hosting a workshop on effective communication skills next month.",ham
"Click here to get a special discount on our newest product offering.",spam
"Don't forget to submit your expense report for the recent business trip.",ham
"Congratulations! You've been selected for a focus group, earn $100.",spam
"The sales team is hosting a training session on our new product line tomorrow.",ham
"You've been pre-approved for a credit card with a 0% APR, click here to apply.",spam
"Remember to submit your time off request for the upcoming holiday season.",ham
